Cycle No.,Date,Mean DN Soiling Loss from glass slides,Std Dev DN Soiling Loss from glass slides,Mean FT Soiling loss from Glass slides,Std Dev FT Soiling loss from Glass slides
1,04-Dec-21,0.725629053,0.14208305,0.197786063,0.175227796
1,08-Dec-21,1.717374454,0.479778592,2.07104936,0.156394365
1,12-Dec-21,3.077952437,0.493854096,3.961393406,0.148100904
1,16-Dec-21,3.830693993,0.298587045,5.519553641,0.37912441
1,20-Dec-21,3.897035864,0.459271756,5.851061767,0.460491005
2,24-Dec-21,0.803285404,0.199924241,1.363681378,0.156192736
2,28-Dec-21,1.299602637,0.16555748,-0.064029379,0.296572799
2,01-Jan-22,2.005921486,0.167330728,1.430440646,0.11694338
2,05-Jan-22,2.724014825,0.216568013,2.72755116,0.349465691
2,09-Jan-22,-0.231293386,0.121609946,0.579006667,0.167456031
3,13-Jan-22,0.571185589,0.109779298,0.791706012,0.29444343
3,17-Jan-22,1.346315835,0.155707853,1.912785996,0.205953564
3,21-Jan-22,1.882981626,0.510601616,2.412378749,0.317505098
3,25-Jan-22,3.578720119,0.086773326,5.692272696,0.361237912
3,29-Jan-22,4.22872494,0.399901549,6.966364457,0.36226389
4,02-Feb-22,0.651265126,0.360361132,0.782117927,0.635080787
4,06-Feb-22,2.167322566,0.282857919,3.814307541,0.220668729
4,10-Feb-22,3.024261125,0.307260018,5.59422997,0.390389324
4,14-Feb-22,3.824748031,0.718895081,6.679792106,0.293868563
4,18-Feb-22,5.382962974,0.661484579,8.04889403,0.669764554
5,22-Feb-22,1.105568063,0.206733638,1.301943804,0.172645041
5,26-Feb-22,2.563331722,0.11258747,3.7937887,0.248656648
5,02-Mar-22,3.137069907,0.376481605,5.637150978,0.407803979
5,06-Mar-22,4.178349162,0.370912431,7.497552667,0.705777198
5,10-Mar-22,5.048477777,0.270312203,8.940007336,0.683663651
6,14-Mar-22,0.775596052,0.205808761,2.087913872,0.181211274
6,18-Mar-22,1.756027993,0.304876032,3.269853611,0.303499905
6,22-Mar-22,2.217840918,0.365710512,4.979628175,0.259215861
6,26-Mar-22,3.56374957,0.759639112,6.448815221,0.682635906
6,30-Mar-22,3.816942056,0.490710763,7.608594625,0.884828971
7,03-Apr-22,1.797805006,0.112174018,2.483570652,0.071985732
7,07-Apr-22,3.108261277,0.327590541,4.7164053,0.353905409
7,11-Apr-22,4.788217805,0.284897121,6.060337114,0.423651856
7,15-Apr-22,5.295240431,0.319315865,8.040793262,0.57573885
7,19-Apr-22,6.784175647,0.615151133,8.510017094,0.823032302
8,23-Apr-22,0.961044454,0.204565433,1.751676047,0.420472007
8,27-Apr-22,1.73520135,0.252935813,2.650738208,0.241426773
8,01-May-22,2.610753138,0.410098136,3.529175839,0.238999825
8,05-May-22,3.892478235,0.508899332,5.194850721,0.618621996
8,09-May-22,4.923596275,0.580765584,6.948474997,0.42583475
9,13-May-22,1.102398705,0.391419074,0.661543537,0.255700784
9,17-May-22,1.409699979,0.750207717,2.992534247,0.342284576
9,21-May-22,4.314678152,0.641718862,4.826551022,0.481818232
9,25-May-22,5.612544934,0.622062417,6.956637683,0.61091134
9,29-May-22,6.375773039,0.576985633,9.037400672,1.253523437
